0	ArrayGet	42	93	51	121.428571428571%
1	ArrayLength	4	26	22	550%
2	ArrayPut	551	580	29	5.26315789473684%
3	BinaryOp	30	1016	986	3286.66666666667%
4	BinaryOpLiteral	161	163	2	1.24223602484472%
5	CheckCast	12	12	0	0%
6	Const	786	1811	1025	130.407124681934%
7	ConstClass	3	25	22	733.333333333333%
8	ConstString	130	155	25	19.2307692307692%
9	ConstWide	1	1	0	0%
10	Convert	12	12	0	0%
11	FillArray	2	2	0	0%
12	FillArrayData	2	2	0	0%
13	Goto	73	477	404	553.424657534247%
14	IfTest	34	58	24	70.5882352941177%
15	IfTestZero	62	141	79	127.41935483871%
16	InstanceGet	274	339	65	23.7226277372263%
17	InstancePut	121	184	63	52.0661157024794%
18	Invoke	370	3113	2743	741.351351351351%
19	Move	183	541	358	195.628415300546%
20	MoveException	20	367	347	1735%
21	MoveResult	202	1158	956	473.267326732673%
22	NewArray	8	10	2	25%
23	NewInstance	68	94	26	38.2352941176471%
24	Nop	2	3	1	50%
25	PackedSwitchData	4	4	0	0%
26	Return	15	19	4	26.6666666666667%
27	ReturnVoid	48	58	10	20.8333333333333%
28	StaticGet	10	133	123	1230%
29	StaticPut	6	18	12	200%
30	Switch	4	4	0	0%
31	Throw	6	353	347	5783.33333333333%
